id	document_id	entity_id	entity_type	paragraph	word
12573	78	1773	Models::Entity	148	36
12574	78	1759	Models::Entity	148	9
12575	78	1807	Models::Entity	148	61
12576	78	1759	Models::Entity	148	9
12577	78	1759	Models::Entity	150	2
12578	78	1808	Models::Entity	150	12
12579	78	1809	Models::Entity	150	16
12580	78	1759	Models::Entity	150	2
12581	78	1808	Models::Entity	150	12
12582	78	1775	Models::Entity	152	10
12583	78	1773	Models::Entity	152	36
12584	78	1810	Models::Entity	152	106
12585	78	1807	Models::Entity	152	121
12586	78	1811	Models::Entity	152	133
12587	78	1812	Models::Entity	154	48
12588	78	1813	Models::Entity	154	62
12589	78	1759	Models::Entity	154	1
12590	78	1782	Models::Entity	156	6
12591	78	1759	Models::Entity	156	127
12592	78	1761	Models::Entity	158	33
12593	78	1763	Models::Entity	158	38
12594	78	1759	Models::Entity	162	9
12595	78	1814	Models::Entity	165	56
12596	78	1807	Models::Entity	169	14
12597	78	1815	Models::Entity	171	10
12598	78	1816	Models::Entity	173	3
12599	78	1815	Models::Entity	175	8
12600	78	1817	Models::Entity	177	34
12601	78	1508	Models::Entity	177	95
12602	78	1508	Models::Entity	179	17
12603	78	1763	Models::Entity	181	5
12604	78	1816	Models::Entity	183	3
12605	78	1818	Models::Entity	185	10
12606	78	1817	Models::Entity	187	34
12607	78	1508	Models::Entity	187	95
12608	78	1508	Models::Entity	189	17
12609	78	1807	Models::Entity	191	13
12610	78	1819	Models::Entity	194	14
12611	78	1759	Models::Entity	195	40
12612	78	1820	Models::Entity	195	61
12613	78	1759	Models::Entity	196	12
12614	78	1821	Models::Entity	196	30
12615	78	1822	Models::Entity	197	12
12616	78	1823	Models::Entity	197	60
12617	78	1759	Models::Entity	198	9
12618	78	1824	Models::Entity	198	46
12619	78	1759	Models::Entity	199	5
12620	78	1825	Models::Entity	199	12
12621	78	1826	Models::Entity	199	14
12622	78	1827	Models::Entity	199	34
12623	78	1487	Models::Article	199	29
12624	78	1488	Models::Article	199	29
12625	78	1759	Models::Entity	201	48
12626	78	1828	Models::Entity	201	68
12627	78	1829	Models::Entity	207	12
12628	78	1786	Models::Entity	207	90
12629	78	1830	Models::Entity	209	2
12630	78	1775	Models::Entity	213	7
12631	78	1759	Models::Entity	213	9
12632	78	1788	Models::Entity	213	54
12633	78	1831	Models::Entity	213	59
12634	78	1773	Models::Entity	215	11
12635	78	1832	Models::Entity	215	29
12636	78	1833	Models::Entity	215	56
12637	78	1759	Models::Entity	215	1
12638	78	1831	Models::Entity	215	78
12639	78	1759	Models::Entity	217	2
12640	78	1834	Models::Entity	217	11
12641	78	1788	Models::Entity	217	21
12642	78	1759	Models::Entity	217	2
12643	78	1782	Models::Entity	219	6
12644	78	1831	Models::Entity	219	14
12645	78	1835	Models::Entity	223	11
12646	78	1836	Models::Entity	225	3
12647	78	1837	Models::Entity	231	8
12648	78	1832	Models::Entity	233	13
12649	78	1838	Models::Entity	233	24
12650	78	1839	Models::Entity	233	39
12651	78	1840	Models::Entity	237	2
12652	78	1450	Models::Entity	241	48
12653	78	1841	Models::Entity	246	11
12654	78	1842	Models::Entity	246	120
12655	78	1843	Models::Entity	246	135
12656	78	1844	Models::Entity	248	7
