RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_RESUELVE_EL_PROCEDIMIENTO_DE_SUPERVISIÓN_CON_NÚMERO_DE_EXPEDIENTE resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_resuelve_el_procedimiento_de_supervisión_con_número_de_expediente NP00000 1
el el DA0MS0 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
reforman reformar VMIP3P0 1
y y CC 0.999989
adicionan adicionar VMIP3P0 1
diversas diverso DI0FP0 0.805344
disposiciones disposición NCFP000 1
de de SP 0.999961
los el DA0MP0 0.992728
artículos artículo NCMP000 1
6o 6o Z 1
. . Fp 1
, , Fc 1
7o 7o Z 1
. . Fp 1
, , Fc 1
27 27 Z 1
, , Fc 1
28 28 Z 1
, , Fc 1
73 73 Z 1
, , Fc 1
78 78 Z 1
, , Fc 1
94 94 Z 1
y y CC 0.999989
105 105 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Constitución_Política_de_los_Estados_Unidos_Mexicanos constitución_política_de_los_estados_unidos_mexicanos NP00000 1
, , Fc 1
en_Materia_de en_materia_de SP 1
Telecomunicaciones telecomunicaciones NP00000 1
” ” Frc 1
. . Fp 1

Resolución_Agente_Económico_Preponderante resolución_agente_económico_preponderante NP00000 1
en en SP 1
el el DA0MS0 1
Sector_de_Radiodifusión sector_de_radiodifusión NP00000 1
. . Fp 1

El el DA0MS0 1
seis_de_marzo_de_dos_mil_catorce [??:6/3/2014:??.??:??] W 1
, , Fc 1
el el DA0MS0 1
Pleno_de_el_INSTITUTO pleno_de_el_instituto NP00000 1
, , Fc 1
en en SP 1
su su DP3CSN 1
V_Sesión_Extraordinaria v_sesión_extraordinaria NP00000 1
mediante mediante SP 0.99763
ACUERDO acuerdo NP00000 1
P/IFT/EXT/060314/77 P/IFT/EXT/060314/77 Z 1
, , Fc 1
emitió emitir VMIS3S0 1
la el DA0FS0 0.98926
Resolución resolución NP00000 1
por por SP 1
la el DA0FS0 0.98926
cual cual PR0CS00 0.930743
determina determinar VMIP3S0 0.989241
a a SP 1
el el DA0MS0 1
grupo grupo NCMS000 1
de de SP 0.999961
interés interés NCMS000 1
económico económico AQ0MS00 1
de de SP 1
el el DA0MS0 1
que que PR0CN00 0.550139
forman_parte formar_parte VMIP3P0 1
Grupo_Televisa grupo_televisa NP00000 1
, , Fc 1
S.A.B. s.a.b. NP00000 1
, , Fc 1
Canales_de_Televisión_Populares canales_de_televisión_populares NP00000 1
, , Fc 1
S.A._de_C.V. s.a._de_c.v. NP00000 1
, , Fc 1
Radio_Televisión radio_televisión NP00000 1
, , Fc 1
S.A._de_C.V. s.a._de_c.v. NP00000 1
, , Fc 1
Radiotelevisora_de_México_Norte radiotelevisora_de_méxico_norte NP00000 1
, , Fc 1
S.A._de_C.V. s.a._de_c.v. NP00000 1
, , Fc 1
T.V._de_los_Mochis t.v._de_los_mochis NP00000 1
, , Fc 1
S.A._de_C.V. s.a._de_c.v. NP00000 1
, , Fc 1
Teleimagen_de_el_Noroeste teleimagen_de_el_noroeste NP00000 1
, , Fc 1
S.A._de_C.V. s.a._de_c.v. NP00000 1
, , Fc 1
Televimex televimex NP00000 1
, , Fc 1
S.A._de_C.V. s.a._de_c.v. NP00000 1
, , Fc 1
Televisión_de_Puebla televisión_de_puebla NP00000 1
, , Fc 1
S.A._de_C.V. s.a._de_c.v. NP00000 1
, , Fc 1
